id,ano,nome,semestre,disciplina_id,professor_id
1,2013,A,1,152,10
2,2013,B,1,152,10
3,2013,A,1,7,56
4,2013,A,1,33,53
5,2013,A,1,34,53
6,2013,A,1,14,70
7,2013,A,1,12,75
8,2013,A,1,1,70
9,2013,A,1,31,27
10,2013,A,1,9,1
11,2013,A,1,5,12
12,2013,A,1,32,13
13,2013,A,1,13,56
14,2013,A,1,6,64
15,2013,A,1,29,17
16,2013,A,1,30,17
17,2013,A,1,16,8
18,2013,B,1,20,2
19,2013,A,1,11,20
20,2013,A,1,20,2
21,2013,A,1,10,27
22,2013,A,1,24,20
23,2013,A,1,3,29
24,2013,A,1,28,29
25,2013,A,1,19,33
27,2013,A,1,23,77
28,2013,A,1,25,31
29,2013,A,1,15,74
30,2013,A,1,17,13
31,2013,A,1,8,71
32,2013,A,1,18,45
33,2013,A,1,21,78
34,2013,A,1,4,49
35,2013,A,1,26,70
36,2013,A,1,27,47
37,2013,A,1,22,47
38,2013,A,1,2,78
39,2013,A,1,151,58
40,2013,B,1,151,58
41,2013,A,1,164,58
42,2013,A,1,138,75
43,2013,A,1,134,4
44,2013,A,1,132,4
45,2013,A,1,141,27
46,2013,A,1,146,58
48,2013,A,1,135,58
49,2013,A,1,140,58
51,2013,A,1,144,58
52,2013,B,1,132,33
53,2013,A,1,149,64
54,2013,A,1,147,38
55,2013,A,1,66,58
56,2013,A,1,51,58
57,2013,A,1,40,58
58,2013,B,1,40,58
59,2013,A,1,48,58
60,2013,A,1,67,58
61,2013,A,1,53,58
62,2013,A,1,36,58
63,2013,B,1,36,58
64,2013,A,1,75,58
65,2013,A,1,76,58
66,2013,A,1,56,58
67,2013,A,1,77,58
68,2013,A,1,78,58
69,2013,A,1,63,58
70,2013,A,1,79,58
71,2013,A,1,73,58
72,2013,A,1,71,58
73,2013,A,1,35,58
74,2013,A,1,62,58
75,2013,B,1,62,58
76,2013,A,1,38,58
77,2013,B,1,38,58
78,2013,A,1,70,58
79,2013,A,1,41,58
80,2013,B,1,41,58
81,2013,A,1,82,58
82,2013,A,1,90,58
83,2013,A,1,83,58
84,2013,C,1,88,58
85,2013,C,1,89,58
86,2013,LN,1,130,58
87,2013,LV,1,130,58
88,2013,A,1,153,48
90,2013,A,1,160,58
91,2013,A,1,160,58
92,2013,A,1,158,9
93,2013,A,1,160,53
94,2013,A,1,99,67
95,2013,A,1,98,84
96,2013,A,1,92,46
97,2013,A,1,118,70
98,2013,A,1,116,46
99,2013,A,1,93,71
100,2013,A,1,110,12
101,2013,A,1,107,76
102,2013,A,1,119,15
103,2013,A,1,112,19
104,2013,A,1,124,28
105,2013,A,1,94,73
106,2013,A,1,105,23
107,2013,A,1,102,74
108,2013,A,1,116,58
109,2013,A,1,96,39
110,2013,A,1,125,52
111,2013,A,1,100,44
112,2013,A,1,106,23
113,2013,A,1,121,72
114,2013,A,1,108,32
115,2013,B,1,108,32
116,2013,A,1,126,9
117,2013,A,1,95,39
118,2013,A,1,91,41
119,2013,A,1,111,42
120,2013,B,1,111,42
121,2013,A,1,115,72
122,2013,A,1,103,1
123,2013,A,1,127,44
124,2013,A,1,101,71
125,2013,A,1,109,67
126,2013,A,1,117,52
127,2013,A,1,120,37
128,2013,A,1,122,37
129,2013,A,1,139,39
130,2013,A,1,165,64
131,2013,A,1,114,79
132,2013,A,1,60,19
133,2013,A,1,58,11
134,2013,B,1,58,11
135,2013,A,1,55,16
136,2013,B,1,55,16
137,2013,A,1,54,40
138,2013,A,1,47,1
139,2013,A,1,72,54
140,2013,B,1,72,54
141,2013,A,1,69,50
142,2013,B,1,69,50
143,2013,A,1,46,7
144,2013,B,1,46,7
145,2013,A,1,57,6
146,2013,B,1,57,6
147,2013,A,1,37,66
148,2013,B,1,37,66
149,2013,A,1,39,73
150,2013,A,1,50,30
151,2013,A,1,49,72
152,2013,A,1,74,5
153,2013,A,1,59,76
154,2013,A,1,68,15
155,2013,A,1,45,21
156,2013,A,1,42,47
157,2013,A,1,43,21
158,2013,A,1,44,5
159,2013,A,1,52,30
160,2013,A,1,148,3
161,2013,A,1,162,3
162,2013,A,1,131,10
163,2013,C,1,131,77
164,2013,A,1,161,76
165,2013,B,1,131,66
166,2013,A,1,143,73
167,2013,A,1,144,41
168,2013,A,1,163,48
169,2013,A,1,143,78
171,2013,A,1,136,67
172,2013,A,1,150,56
173,2013,A,1,137,75
174,2013,A,1,166,8
175,2013,A,1,167,3
176,2013,A,1,156,7
177,2013,A,1,157,31
178,2013,A,1,155,49
179,2013,A,1,159,40
180,2013,A,1,154,45
181,2013,A,1,168,33
182,2013,A,1,169,56
183,2013,A,1,104,83
184,2013,A,1,123,81
185,2013,A,1,129,82
186,2013,C,1,108,84
187,2013,C,1,115,84
188,2013,A,1,170,39
189,2013,A,1,171,41
190,2013,A,1,172,78
191,2013,B,1,172,73
192,2013,A,1,173,4
193,2013,A,1,174,75
194,2013,A,1,175,27
195,2013,A,1,176,75
196,2013,A,1,177,67
197,2013,A,1,178,17
198,2013,A,1,179,17
199,2013,A,1,148,33
200,2013,A,1,180,4
201,2013,A,1,181,4
202,2013,A,1,85,2
